CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1061	1186	20	0.6573	0.000
814	1177	20	1.0	0.000
494	1061	20	0.6732	0.250
497	1177	20	0.6547	-67.371
497	814	20	0.656	-67.371
814	1190	20	0.666	0.000
387	597	21	0.7086	-21.985
282	401	22	0.9848	0.000
80	401	22	0.9862	-0.000
74	249	22	0.9203	-17.027
729	993	22	0.9306	2.050
74	472	22	0.9345	0.000
7	247	22	0.9084	-0.000
80	84	22	0.9093	-17.027
74	281	22	0.8959	-18.959
249	981	22	0.9203	17.027
7	1057	22	0.8769	-0.000
252	406	22	0.9912	-0.000
369	406	22	0.9915	-0.000
406	695	22	0.9941	0.000
694	695	22	0.9018	-17.027
472	1057	22	0.8365	-1.979
80	406	22	0.9109	-17.027
89	408	22	0.9822	0.000
74	1123	22	0.7636	0.000
15	138	22	0.9915	0.000
80	250	22	0.9883	0.000
281	1123	22	0.7219	18.959
138	729	22	0.9254	-2.051
134	694	22	0.9857	0.000
12	80	22	0.9885	0.000
369	729	22	0.9253	-2.051
16	993	22	0.8945	2.051
401	694	22	0.9871	0.000
84	138	22	0.9919	0.000
74	282	22	0.8339	-43.990
15	694	22	0.9089	17.027
406	993	22	0.9919	-0.000
281	472	22	0.8995	18.959
15	252	22	0.9927	0.000
12	401	22	0.9881	0.000
694	991	22	0.9834	-0.000
406	729	22	0.9266	-2.051
250	991	22	0.9843	-0.001
369	993	22	0.9889	-0.001
252	695	22	0.9936	-0.000
250	401	22	0.9875	-0.000
138	993	22	0.9901	-0.001
15	695	22	0.9948	-0.000
15	406	22	0.9935	-0.000
74	247	22	0.7269	-1.979
252	729	22	0.9227	-2.051
80	282	22	0.9883	-0.000
84	406	22	0.9931	0.000
16	138	22	0.8928	2.051
406	694	22	0.9034	17.027
84	729	22	0.9242	-2.051
189	1057	22	0.8732	0.000
134	729	22	0.8991	-19.077
134	991	22	0.9834	-0.000
